Dependiente ,Tipo de fenomeno,Duracion,MUNICIPIOS afectados,ANAL,SPRI,OVSDS,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM,area_mun (ha),Sum_POBTOT,R_Inun,R_Hur,R_Des,R_Seq,R_IF,R_Den,a_o,Clave completa(TEXTO)
0,SD,1,32,3.76,31.26,7.42,0.94,0.81,44.36,1.85,42.5,54.7,-1.26,Bajo,17897.79,11356,0,1,0,5,1,0,2002,32032
1,SEQ,10,31,8.34,43.31,16.61,4.5,10.7,27.73,4.59,100,59.22,-0.49,Medio,159123.57,8432,1,1,0,1,1,5,2007,32031
1,SEQ,62,31,8.34,43.31,16.61,4.5,10.7,27.73,4.59,100,59.22,-0.49,Medio,159123.57,8432,1,1,0,1,1,5,2009,32031
1,SEQ,92,31,7.36,37.14,8.53,2.25,5.33,24.92,2.98,100,63.82,-0.42,Medio,159123.57,8432,1,1,0,1,1,5,2010,32031
1,LLUV,3,31,9.07,48.49,33.34,7.62,22.76,33.91,7.41,100,66.09,-0.39,Medio,159123.57,8432,1,1,0,1,1,5,2003,32031
1,SEQ,10,30,9.03,45.45,4.52,1.43,3.21,30.94,2.37,100,62.79,-0.58,Medio,16017.41,2481,1,1,2,2,1,5,2007,32030
1,SEQ,62,30,9.03,45.45,4.52,1.43,3.21,30.94,2.37,100,62.79,-0.58,Medio,16017.41,2481,1,1,2,2,1,5,2009,32030
1,SEQ,61,29,4.27,23.22,4.69,0.99,6.22,37.98,6.41,39.22,57.06,-0.85,Bajo,109392.08,22261,2,1,0,4,2,0,2010,32029
1,SEQ,62,28,10.31,49.23,18.83,1.42,39.48,36.32,18.67,100,54.64,-0.07,Alto,48200.85,2329,0,1,0,1,2,5,2009,32028
1,SEQ,10,27,13.74,45.6,21.31,6.12,23.1,48.06,6.77,100,71.08,0.12,Alto,186204.88,2583,0,1,0,2,3,0,2007,32027
1,SEQ,92,27,12.43,35.54,15.66,3.64,15.14,39.59,1.99,100,75.34,0.12,Medio,186204.88,2583,0,1,0,2,3,0,2010,32027
1,BT,1,27,14.15,57.28,34.61,10.52,66.41,58.2,17.19,100,79.32,0.52,Alto,186204.88,2583,0,1,0,2,3,0,2002,32027
1,SEQ,10,26,13.43,43.7,21.89,4.9,37.1,43.97,12.07,100,70.6,0.16,Alto,1198760.07,17354,1,1,1,2,3,0,2007,32026
1,SEQ,92,26,10.37,34.83,16.56,3.77,31.06,43.62,6.73,100,65.94,0.22,Medio,1198760.07,17354,1,1,1,2,3,0,2010,32026
1,BT,1,26,14.11,50.04,33.34,19.09,39.2,49.63,18.54,100,78.79,0.28,Alto,1198760.07,17354,1,1,1,2,3,0,2002,32026
0,LLUV,1,26,14.11,50.04,33.34,19.09,39.2,49.63,18.54,100,78.79,0.28,Alto,1198760.07,17354,1,1,1,2,3,0,2003,32026
1,SEQ,62,25,8.33,34.15,2.59,1.18,1.93,41.98,6.49,49.04,62.64,-0.8,Bajo,17502.8,12022,3,2,0,4,2,0,2009,32025
1,SEQ,92,25,6.98,27.49,2.7,1.03,1.59,40.26,7.07,48.22,49.6,-0.78,Bajo,17502.8,12022,3,2,0,4,2,0,2010,32025
1,BT,1,25,9.08,39.22,6.67,1.43,2.38,48.57,6.13,49.09,69.9,-0.85,Bajo,17502.8,12022,3,2,0,4,2,0,2002,32025
0,LLUV,1,25,9.08,39.22,6.67,1.43,2.38,48.57,6.13,49.09,69.9,-0.85,Bajo,17502.8,12022,3,2,0,4,2,0,2004,32025
0,LLUV,1,25,9.08,39.22,6.67,1.43,2.38,48.57,6.13,49.09,69.9,-0.85,Bajo,17502.8,12022,3,2,0,4,2,0,2004,32025
1,SEQ,62,24,7.42,30.23,7.24,1.67,5.42,46.92,6.4,49.13,57.06,-0.8,Bajo,42465.88,48117,4,2,0,5,1,0,2009,32024
1,SEQ,92,24,5.95,24.36,4.2,1.44,5.43,43.07,3.5,49.84,51.25,-0.79,Bajo,42465.88,48117,4,2,0,5,1,0,2010,32024
0,SD,1,24,8.21,37.17,13.04,4.2,9.23,52.36,10.01,50.82,63.68,-0.76,Bajo,42465.88,48117,4,2,0,5,1,0,2002,32024
0,LLUV,1,24,7.42,30.23,7.24,1.67,5.42,46.92,6.4,49.13,57.06,-0.8,Bajo,42465.88,48117,4,2,0,5,1,0,2007,32024
0,LLUV,1,24,7.42,30.23,7.24,1.67,5.42,46.92,6.4,49.13,57.06,-0.8,Bajo,42465.88,48117,4,2,0,5,1,0,2008,32024
0,LLUV,1,24,7.42,30.23,7.24,1.67,5.42,46.92,6.4,49.13,57.06,-0.8,Bajo,42465.88,48117,4,2,0,5,1,0,2008,32024
0,LLUV,2,24,7.42,30.23,7.24,1.67,5.42,46.92,6.4,49.13,57.06,-0.8,Bajo,42465.88,48117,4,2,0,5,1,0,2008,32024
1,SEQ,62,23,9.06,37.01,0.69,0.23,1.2,26.58,4.68,48.8,50.12,-1.09,Bajo,33537.13,12228,0,1,0,1,1,0,2009,32023
1,SEQ,61,22,3.86,24.51,4.86,1.03,1.09,36.01,4.06,24.88,59.45,-0.96,Bajo,61692.11,20528,0,1,0,4,1,0,2010,32022
1,BT,1,22,5.01,35.27,16.52,2.99,6.65,46.88,9.34,27.49,63.65,-0.98,Bajo,61692.11,20528,0,1,0,4,1,0,2002,32022
1,LLUV,3,22,5.01,35.27,16.52,2.99,6.65,46.88,9.34,27.49,63.65,-0.98,Bajo,61692.11,20528,0,1,0,4,1,0,2003,32022
1,SEQ,62,21,13.64,47.74,39.01,10.02,21.29,50.71,27.99,100,69.92,0.51,Alto,118887.83,4419,0,1,1,1,1,0,2009,32021
1,SEQ,92,21,10.99,37.38,33.22,8.03,16.89,41.8,10.95,100,77.28,0.57,Alto,118887.83,4419,0,1,1,1,1,0,2010,32021
1,BT,1,21,17.55,57.99,49.36,21.03,16.4,56.62,40.99,100,78.03,0.63,Alto,118887.83,4419,0,1,1,1,1,0,2002,32021
1,LLUV,3,21,17.55,57.99,49.36,21.03,16.4,56.62,40.99,100,78.03,0.63,Alto,118887.83,4419,0,1,1,1,1,0,2003,32021
1,SEQ,92,20,5.23,27.76,2.29,0.45,1.31,24.43,1.9,25.25,53.66,-1.15,Bajo,152690.74,57242,1,2,0,3,1,0,2010,32020
1,BT,1,20,6.49,38.11,7.62,1.71,3.76,32.14,3.08,31.41,60.25,-1.23,Bajo,152690.74,57242,1,2,0,3,1,0,2002,32020
1,LLUV,3,20,6.49,38.11,7.62,1.71,3.76,32.14,3.08,31.41,60.25,-1.23,Bajo,152690.74,57242,1,2,0,3,1,0,2002,32020
1,LLUV,3,20,6.49,38.11,7.62,1.71,3.76,32.14,3.08,31.41,60.25,-1.23,Bajo,152690.74,57242,1,2,0,3,1,0,2003,32020
0,FV,1,20,6.02,32.15,3.31,0.76,2.09,27,2.84,26.56,53.99,-1.23,Muy bajo,152690.74,57242,1,2,0,3,1,0,2009,32020
1,TS,2,19,9.75,34.98,5.74,1.81,8.11,33.96,4.15,38.82,54.89,-0.91,Bajo,71086.33,23247,0,1,1,3,2,0,2006,32019
1,TS,1,19,9.75,34.98,5.74,1.81,8.11,33.96,4.15,38.82,54.89,-0.91,Bajo,71086.33,23247,0,1,1,3,2,0,2008,32019
1,SEQ,10,19,9.75,34.98,5.74,1.81,8.11,33.96,4.15,38.82,54.89,-0.91,Bajo,71086.33,23247,0,1,1,3,2,0,2007,32019
1,LLUV,3,19,10.02,43.82,11.64,2.79,12.25,39.22,5.75,42.11,61.25,-0.89,Bajo,71086.33,23247,0,1,1,3,2,0,2003,32019
1,TS,2,18,11.14,42.03,9.88,1.59,8.97,35.24,5.5,100,63.95,-0.43,Medio,36860.58,4179,0,1,0,1,5,0,2006,32018
1,TS,1,18,11.14,42.03,9.88,1.59,8.97,35.24,5.5,100,63.95,-0.43,Medio,36860.58,4179,0,1,0,1,5,0,2008,32018
1,SEQ,10,18,11.14,42.03,9.88,1.59,8.97,35.24,5.5,100,63.95,-0.43,Medio,36860.58,4179,0,1,0,1,5,0,2007,32018
1,SEQ,62,18,11.14,42.03,9.88,1.59,8.97,35.24,5.5,100,63.95,-0.43,Medio,36860.58,4179,0,1,0,1,5,0,2009,32018
1,LLUV,3,18,10.18,49.93,24.81,2.78,24.56,38.46,8.6,100,71.37,-0.35,Medio,36860.58,4179,0,1,0,1,5,0,2003,32018
1,SEQ,62,17,3.44,15.7,2.27,0.97,2.29,28.86,2.16,16.88,35.44,-1.68,Muy bajo,80829.23,159550,1,1,0,5,3,0,2009,32017
1,SEQ,92,17,2.6,12.09,1.35,0.76,1.41,25,1.67,16.72,28.26,-1.72,Muy Bajo,80829.23,159550,1,1,0,5,3,0,2010,32017
1,BT,1,17,4.46,21.47,6.4,1.35,4.32,35.08,3.56,21.47,39.55,-1.66,Muy bajo,80829.23,159550,1,1,0,5,3,0,2002,32017
1,LLUV,3,17,4.46,21.47,6.4,1.35,4.32,35.08,3.56,21.47,39.55,-1.66,Muy bajo,80829.23,159550,1,1,0,5,3,0,2003,32017
0,INUND,1,17,4.46,21.47,6.4,1.35,4.32,35.08,3.56,21.47,39.55,-1.66,Muy bajo,80829.23,159550,1,1,0,5,3,0,2002,32017
0,SD,1,17,4.46,21.47,6.4,1.35,4.32,35.08,3.56,21.47,39.55,-1.66,Muy bajo,80829.23,159550,1,1,0,5,3,0,2002,32017
0,LLUV,1,17,4.46,21.47,6.4,1.35,4.32,35.08,3.56,21.47,39.55,-1.66,Muy bajo,80829.23,159550,1,1,0,5,3,0,2004,32017
0,LLUV,1,17,4.46,21.47,6.4,1.35,4.32,35.08,3.56,21.47,39.55,-1.66,Muy bajo,80829.23,159550,1,1,0,5,3,0,2004,32017
0,FV,1,17,3.44,15.7,2.27,0.97,2.29,28.86,2.16,16.88,35.44,-1.68,Muy bajo,80829.23,159550,1,1,0,5,3,0,2009,32017
1,SEQ,10,16,10.62,45.36,17.72,1.75,1.28,44.61,6.8,100,68.02,-0.23,Medio,43737.13,22218,3,2,0,5,3,0,2007,32016
1,SEQ,92,16,9.07,36.67,9.97,1.3,3.84,40.47,3.89,100,68.03,-0.15,Medio,43737.13,22218,3,2,0,5,3,0,2010,32016
1,BT,1,16,12.23,51.7,30.81,2.61,4.75,51.72,10.42,100,75.91,-0.17,Medio,43737.13,22218,3,2,0,5,3,0,2002,32016
1,TS,1,16,10.62,45.36,17.72,1.75,1.28,44.61,6.8,100,68.02,-0.23,Medio,43737.13,22218,3,2,0,5,3,0,2009,32016
1,TS,2,16,9.07,36.67,9.97,1.3,3.84,40.47,3.89,100,68.03,-0.15,Medio,43737.13,22218,3,2,0,5,3,0,2010,32016
0,LLUV,1,16,10.62,45.36,17.72,1.75,1.28,44.61,6.8,100,68.02,-0.23,Medio,43737.13,22218,3,2,0,5,3,0,2005,32016
0,SD,1,16,12.23,51.7,30.81,2.61,4.75,51.72,10.42,100,75.91,-0.17,Medio,43737.13,22218,3,2,0,5,3,0,2002,32016
1,SEQ,10,15,14.5,61.28,19.6,5.55,8.3,27.5,8.66,100,72.48,0.01,Alto,34999.21,1549,0,1,0,1,3,0,2007,32015
0,LLUV,2,14,8.46,47.17,30,3.27,19.56,46.87,10.45,77.25,72.78,-0.35,Medio,496896.9,21829,1,1,0,2,3,0,2003,32014
1,SEQ,92,13,6.33,29.36,2.23,2.28,1.31,32.89,2.36,100,51.85,-0.67,Medio,19557.46,5790,4,1,0,4,1,0,2010,32013
