"Dependiente","ANAL","SPRI","OVSDS","OVSEE","OVSAE","VHAC","OVPT","PL.5000","PO2SM","IM","area_mun..ha.","Sum_POBTOT","R_Inun","R_Hur","R_Des","R_Seq","R_IF","R_Den"
1,9.06,37.01,0.69,0.23,1.2,26.58,4.68,48.8,50.12,-1.09,33537.13,12228,0,1,0,1,1,0
1,2.31,10.62,0.11,0.06,0.42,25.89,1.86,0,19.35,-1.92,32169.54,1135512,4,1,0,4,1,0
0,19.61,53.93,16.56,13.57,61.36,60.85,29.79,100,82.81,0.59,141343.94,26015,5,2,2,1,1,0
1,12.36,49.03,8.61,1.29,1.67,44.59,11.55,100,66.97,-0.54,7631.83,9508,4,2,0,5,2,5
0,21.69,51.97,4.34,0.94,7.37,38.94,8.63,100,70.77,-0.06,64402.86,27631,2,5,2,3,1,5
0,31.85,57.41,1.55,5.54,25.88,68.32,62.88,100,77.73,1.17,7052.68,9679,0,4,4,2,4,0
1,28.73,54.91,10.01,13.67,25.08,69.46,43.88,100,86.65,1.21,52255.87,8376,0,5,1,3,4,0
1,14.18,46.52,1.86,8.82,19.96,49.13,24.17,65.83,63.51,-0.03,304287.86,27394,2,1,1,2,3,0
1,27.11,45.28,7.32,4.49,8.08,62.39,4.16,100,85.9,0.4,19782.83,2595,4,3,0,2,3,0
1,18.03,32.68,8.02,1.98,20.35,57.37,30.76,46.45,37.48,0.12,124795.81,46036,0,3,3,5,4,0
1,24.42,48.7,34.12,5.99,0.74,65.62,7.68,100,85.02,0.63,22844.98,4709,5,5,0,2,4,0
0,3.85,18.84,2.82,0.52,1.81,41.18,1.89,100,42.35,-1.12,49357.48,10656,0,1,0,2,2,0
0,15.25,34.35,5.77,4.11,18.81,47.64,15.14,37.14,60.93,-0.44,65448.69,82746,5,5,0,3,2,0
1,14.68,37.4,7.87,5.55,4.51,62.36,11.75,45.69,65.76,-0.24,476683.16,53415,3,2,0,1,4,0
0,11.48,26.74,14.86,0.93,1.97,56.82,18.56,76.98,45.11,-0.55,11510.85,78138,3,4,0,4,1,0
1,5.28,20.7,1.17,1.81,19.88,46.41,8.18,9.28,42.38,-0.93,28568.01,55143,5,5,0,4,1,0
1,5.24,35.3,4.68,2.46,3.46,42.75,3.12,100,36.43,-1.16,602836.73,6131,1,1,0,2,2,0
0,6.33,44.89,4.02,1.73,3.73,19.11,1.71,100,35.19,-1.03,95003.05,5880,1,1,0,3,3,0
1,36.17,56.98,62.86,22.43,40.61,65.94,59.96,15.8,82.89,1.09,6765.49,6558,0,4,0,5,3,0
